date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:06:03	5092/5092	---M--	200	added ('OK')	image/png	etag:%22200a1f2a55fb2c2af204ba1df8d3624d%22	https://assets.website-files.com/5f734f4dbd95382f4fdfa0ea/6273ac9b8b6a20edc2369a1a_NFT%20Genius.png	C:/nftinstaconnect/assets.website-files.com/5f734f4dbd95382f4fdfa0ea/6273ac9b8b6a20edc2369a1a_NFT%20Genius.png	(from https://nftinstaconnect.com/)
23:06:04	1681/1681	---M--	200	added ('OK')	image/png	etag:%224ad954ea8a14c2186f81de9a5294a76b%22	https://assets.website-files.com/5f734f4dbd95382f4fdfa0ea/6273ac6bbc66c5823dced250_Genies.png	C:/nftinstaconnect/assets.website-files.com/5f734f4dbd95382f4fdfa0ea/6273ac6bbc66c5823dced250_Genies.png	(from https://nftinstaconnect.com/)
23:06:04	3211/3211	---M--	200	added ('OK')	image/png	etag:%222b0b653424b8efdaf8d31888780b0819%22	https://assets.website-files.com/5f734f4dbd95382f4fdfa0ea/6273ac6b5b163f9e13a197cd_Giglabs.png	C:/nftinstaconnect/assets.website-files.com/5f734f4dbd95382f4fdfa0ea/6273ac6b5b163f9e13a197cd_Giglabs.png	(from https://nftinstaconnect.com/)
23:06:05	654/654	---M--	200	added ('OK')	image/png	etag:%223aed16d6f7c19e4b46db3598ba80fb59%22	https://assets.website-files.com/5f734f4dbd95382f4fdfa0ea/6273ac6b3c4d0cadef9e3feb_Improbable.png	C:/nftinstaconnect/assets.website-files.com/5f734f4dbd95382f4fdfa0ea/6273ac6b3c4d0cadef9e3feb_Improbable.png	(from https://nftinstaconnect.com/)
23:06:06	6546/6546	---M--	200	added ('OK')	image/png	etag:%223d55686428d46052e5bb5f48f92d6dd7%22	https://assets.website-files.com/5f734f4dbd95382f4fdfa0ea/6273ac6c94159538621a0a3a_Joyride.png	C:/nftinstaconnect/assets.website-files.com/5f734f4dbd95382f4fdfa0ea/6273ac6c94159538621a0a3a_Joyride.png	(from https://nftinstaconnect.com/)
23:06:07	5231/5231	---M--	200	added ('OK')	image/png	etag:%221a99638a98f27fca93cf66e27a219fb4%22	https://assets.website-files.com/5f734f4dbd95382f4fdfa0ea/6273ac6da22e4566e1436601_Matrix%20World.png	C:/nftinstaconnect/assets.website-files.com/5f734f4dbd95382f4fdfa0ea/6273ac6da22e4566e1436601_Matrix%20World.png	(from https://nftinstaconnect.com/)
23:06:08	6745/6745	---M--	200	added ('OK')	image/png	etag:%22a153aa33e0d15f490ccdb57c2d89d21c%22	https://assets.website-files.com/5f734f4dbd95382f4fdfa0ea/6273ac6d5c2490c79e6c1dc8_Mattel.png	C:/nftinstaconnect/assets.website-files.com/5f734f4dbd95382f4fdfa0ea/6273ac6d5c2490c79e6c1dc8_Mattel.png	(from https://nftinstaconnect.com/)
23:06:08	3921/3921	---M--	200	added ('OK')	image/png	etag:%227bb1afaefc2e2cca519a5981f0da00b6%22	https://assets.website-files.com/5f734f4dbd95382f4fdfa0ea/6273ac6a5b163f33d2a197cc_image%2054.png	C:/nftinstaconnect/assets.website-files.com/5f734f4dbd95382f4fdfa0ea/6273ac6a5b163f33d2a197cc_image%2054.png	(from https://nftinstaconnect.com/)
23:06:09	1339/1339	---M--	200	added ('OK')	image/png	etag:%22b0fa6682e88e25ff6a999397dc158207%22	https://assets.website-files.com/5f734f4dbd95382f4fdfa0ea/6273ac6d3c4d0c43a89e3fec_Mint.png	C:/nftinstaconnect/assets.website-files.com/5f734f4dbd95382f4fdfa0ea/6273ac6d3c4d0c43a89e3fec_Mint.png	(from https://nftinstaconnect.com/)
23:06:10	1949/1949	---M--	200	added ('OK')	image/png	etag:%22a2c5881a829e1b16e9679e8f53a5a35e%22	https://assets.website-files.com/5f734f4dbd95382f4fdfa0ea/6273ac9a1e93acf0b0d2d2bf_Mixi.png	C:/nftinstaconnect/assets.website-files.com/5f734f4dbd95382f4fdfa0ea/6273ac9a1e93acf0b0d2d2bf_Mixi.png	(from https://nftinstaconnect.com/)
23:06:11	1790/1790	---M--	200	added ('OK')	image/png	etag:%2219d3bb3cef9662e37abf1b4d26f1f0b5%22	https://assets.website-files.com/5f734f4dbd95382f4fdfa0ea/6273ac995466bba6b2042546_OneFootball.png	C:/nftinstaconnect/assets.website-files.com/5f734f4dbd95382f4fdfa0ea/6273ac995466bba6b2042546_OneFootball.png	(from https://nftinstaconnect.com/)
23:06:12	5589/5589	---M--	200	added ('OK')	image/png	etag:%2231911abd5be1825c5f94ad52a74142dd%22	https://assets.website-files.com/5f734f4dbd95382f4fdfa0ea/6273ac9ae923e70c26eb7b03_Playco.png	C:/nftinstaconnect/assets.website-files.com/5f734f4dbd95382f4fdfa0ea/6273ac9ae923e70c26eb7b03_Playco.png	(from https://nftinstaconnect.com/)
